parse_review_priority,parse_review_category,recommended_action,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,address_parse_status,address_parse_error,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,filing_document_fetch_error
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0444,CENOVUS ENERGY INC.,CVE,2026-02-19,40-F,0001475260-26-000008,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,225 - 6 AVENUE S.W. P.O. BOX 766,CALGARY,A0,T2P 1N2,,,data/raw/sec_edgar_hq/filing_documents/CIK0001475260/000147526026000008/cve-20251231_d2.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0073,CENTRUS ENERGY CORP,LEU,2026-02-11,10-K,0001628280-26-007117,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,6901 ROCKLEDGE DR SUITE 800,BETHESDA,MD,20817,24031,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001065059/000162828026007117/leu-20251231.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0448,CHECK POINT SOFTWARE TECHNOLOGIES LTD,CHKP,2026-03-31,20-F,0001178913-26-001932,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,5 SHLOMO KAPLAN STREET,"TEL AVIV, ISRAEL",,6789159,,,data/raw/sec_edgar_hq/filing_documents/CIK0001015922/000117891326001932/zk2634942.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0453,CN Healthy Food Tech Group Corp.,UCFI,2024-04-01,10-K,0001213900-24-028817,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,P.O. BOX 2506,TOLUCA LAKE,CA,91610,,,data/raw/sec_edgar_hq/filing_documents/CIK0001901203/000121390024028817/ea0202557-10k_ironhorse.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0454,CN Healthy Food Tech Group Corp.,UCFI,2025-02-21,10-K,0001213900-25-015846,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,P.O. BOX 2506,TOLUCA LAKE,CA,91610,,,data/raw/sec_edgar_hq/filing_documents/CIK0001901203/000121390025015846/ea0230568-10k_ironhorse.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0456,Capital Clean Energy Carriers Corp.,CCEC,2008-04-04,20-F,0000950157-08-000257,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,3 IASSONOS STREET,PIRAEUS,J3,18537,,,data/raw/sec_edgar_hq/filing_documents/CIK0001392326/000095015708000257/form20-f.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0457,Capital Clean Energy Carriers Corp.,CCEC,2009-03-27,20-F,0000950157-09-000145,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,3 IASSONOS STREET,PIRAEUS,J3,18537,,,data/raw/sec_edgar_hq/filing_documents/CIK0001392326/000095015709000145/form20-f.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0458,Capital Clean Energy Carriers Corp.,CCEC,2010-02-04,20-F,0000950157-10-000073,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,3 IASSONOS STREET,PIRAEUS,J3,18537,,,data/raw/sec_edgar_hq/filing_documents/CIK0001392326/000095015710000073/form20-f.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0459,Capital Clean Energy Carriers Corp.,CCEC,2026-04-27,20-F,0001193125-26-179568,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,3 IASSONOS STREET,PIRAEUS,J3,18537,,,data/raw/sec_edgar_hq/filing_documents/CIK0001392326/000119312526179568/d41846d20f.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0463,Cognyte Software Ltd.,CGNT,2021-04-29,20-F,0001824814-21-000007,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,33 MASKIT,HERZLIYA PITUACH,L3,4673333,,,data/raw/sec_edgar_hq/filing_documents/CIK0001824814/000182481421000007/cgnt-20210131.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0464,Cognyte Software Ltd.,CGNT,2022-04-05,20-F,0001824814-22-000013,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,33 MASKIT,HERZLIYA PITUACH,L3,4673333,,,data/raw/sec_edgar_hq/filing_documents/CIK0001824814/000182481422000013/cgnt-20220131.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0465,Cognyte Software Ltd.,CGNT,2022-04-12,20-F/A,0001824814-22-000016,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,33 MASKIT,HERZLIYA PITUACH,L3,4673333,,,data/raw/sec_edgar_hq/filing_documents/CIK0001824814/000182481422000016/cgnt-20220131.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0466,Cognyte Software Ltd.,CGNT,2026-03-25,20-F,0001824814-26-000021,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,33 MASKIT,HERZLIYA PITUACH,L3,4673333,,,data/raw/sec_edgar_hq/filing_documents/CIK0001824814/000182481426000021/cgnt-20260131.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0001,"ACORN ENERGY, INC.",ACFN,2003-04-16,10-K,0001144204-03-001800,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"1000 N WEST STREET, SUITE 1200",WILMINGTON,DE,19801,10003,New Castle County,data/raw/sec_edgar_hq/filing_documents/CIK0000880984/000114420403001800/doc1.txt,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0002,"ACORN ENERGY, INC.",ACFN,2003-05-07,10-K/A,0001144204-03-002170,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"1000 N WEST STREET, SUITE 1200",WILMINGTON,DE,19801,10003,New Castle County,data/raw/sec_edgar_hq/filing_documents/CIK0000880984/000114420403002170/doc1.txt,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0493,AIR Global PLC,AIIR,2026-04-22,424B3,0001193125-26-170549,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"FESTIVAL OFFICE TWR, DUBAI FESTIVAL CITY 7TH FLOOR, OFFICE NO. 700",DUBAI (DIFC),,00000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002097725/000119312526170549/project_genesis_-_final_.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0494,AIR Global PLC,AIIR,2026-05-12,424B3,0001193125-26-217201,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"FESTIVAL OFFICE TWR, DUBAI FESTIVAL CITY 7TH FLOOR, OFFICE NO. 700",DUBAI (DIFC),,00000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002097725/000119312526217201/project_genesis_424b3_11.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0411,AIR Global PLC,AIIR,2026-05-21,20-F,0001193125-26-234374,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"FESTIVAL OFFICE TWR, DUBAI FESTIVAL CITY 7TH FLOOR, OFFICE NO. 700",DUBAI (DIFC),,00000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002097725/000119312526234374/genesis_-_super_20-f_fil.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0210,AIR T INC,AIRT,2004-11-04,10-Q,0000353184-04-000036,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,11020 DAVID TAYLOR DRIVE SUITE 305,CHARLOTTE,NC,28262,37119,Mecklenburg County,data/raw/sec_edgar_hq/filing_documents/CIK0000353184/000035318404000036/sep.txt,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0216,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,2026-05-06,10-Q,0001628280-26-031360,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,475 OAKMEAD PARKWAY,SUNNYVALE,CA,94085,06085,Santa Clara County,data/raw/sec_edgar_hq/filing_documents/CIK0001387467/000162828026031360/aosl-20260331.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0217,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,2026-05-12,8-K,0001628280-26-034090,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,475 OAKMEAD PARKWAY,SUNNYVALE,CA,94085,06085,Santa Clara County,data/raw/sec_edgar_hq/filing_documents/CIK0001387467/000162828026034090/aosl-20260511.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0498,Activate Energy Acquisition Corp.,AEAQ,2025-12-09,8-K,0001213900-25-119675,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,71 FORT STREET PO BOX 500,GRAND CAYMAN,,00000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002083689/000121390025119675/ea0268907-8k_activate.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0499,Activate Energy Acquisition Corp.,AEAQ,2025-12-12,8-K,0001213900-25-120795,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,71 FORT STREET PO BOX 500,GRAND CAYMAN,,00000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002083689/000121390025120795/ea0269035-8k_activate.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0415,Ads-Tec Energy Public Ltd Co,ADSE,2021-12-29,20-F,0001213900-21-067972,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,10 EARLSFORT TERRACE DUBLIN 2,DUBLIN,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001879248/000121390021067972/f20f2021_adstecenergy.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0416,Ads-Tec Energy Public Ltd Co,ADSE,2022-04-28,20-F,0001213900-22-022308,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,10 EARLSFORT TERRACE DUBLIN 2,DUBLIN,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001879248/000121390022022308/f20f2021_adstecenergy.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0417,Ads-Tec Energy Public Ltd Co,ADSE,2023-05-11,20-F,0001213900-23-038592,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,10 EARLSFORT TERRACE DUBLIN 2,DUBLIN,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001879248/000121390023038592/f20f2022_adstecen.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0418,Ads-Tec Energy Public Ltd Co,ADSE,2026-05-15,20-F,0001213900-26-057891,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,10 EARLSFORT TERRACE DUBLIN 2,DUBLIN,,,,,data/raw/sec_edgar_hq/filing_documents/CIK0001879248/000121390026057891/ea0290629-20f_adstec.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0028,"Air Products & Chemicals, Inc.",APD,2016-11-21,10-K,0001193125-16-773346,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1940 AIR PRODUCTS BLVD.,ALLENTOWN,PA,18106-5500,42077,Lehigh County,data/raw/sec_edgar_hq/filing_documents/CIK0000002969/000119312516773346/d271291d10k.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0422,BAYTEX ENERGY CORP.,BTE,2006-03-31,40-F,0001104659-06-021388,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"2800, 520 3RD AVE SW",CALGARY,,T2P 0R3,,,data/raw/sec_edgar_hq/filing_documents/CIK0001279495/000110465906021388/a06-7766_140f.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0423,BAYTEX ENERGY CORP.,BTE,2007-01-29,40-F,0001279495-07-000006,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"2800, 520 3RD AVE SW",CALGARY,,T2P 0R3,,,data/raw/sec_edgar_hq/filing_documents/CIK0001279495/000127949507000006/form40f_aletter.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0424,BAYTEX ENERGY CORP.,BTE,2007-02-12,40-F/A,0001104659-07-009720,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"2800, 520 3RD AVE SW",CALGARY,,T2P 0R3,,,data/raw/sec_edgar_hq/filing_documents/CIK0001279495/000110465907009720/a07-3890_140fa.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0241,BRB Foods Inc.,BRBF,2024-01-17,S-1,0001213900-24-004208,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,8 THE GREEN STE #3,DOVER,DE,19901,10001,Kent County,data/raw/sec_edgar_hq/filing_documents/CIK0001976870/000121390024004208/fs12023_brbfoodsinc.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0242,BRB Foods Inc.,BRBF,2024-06-03,S-1/A,0001213900-24-049144,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,8 THE GREEN STE #3,DOVER,DE,19901,10001,Kent County,data/raw/sec_edgar_hq/filing_documents/CIK0001976870/000121390024049144/ea0206746-01.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0240,BRB Foods Inc.,BRBF,2025-12-12,10-Q,0001213900-25-120878,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,8 THE GREEN STE #3,DOVER,DE,19901,10001,Kent County,data/raw/sec_edgar_hq/filing_documents/CIK0001976870/000121390025120878/ea0268970-10q_brbfoods.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0043,BRB Foods Inc.,BRBF,2026-04-15,10-K,0001477932-26-002290,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,8 THE GREEN STE #3,DOVER,DE,19901,10001,Kent County,data/raw/sec_edgar_hq/filing_documents/CIK0001976870/000147793226002290/brbfoods_10k.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0045,BRIDGFORD FOODS CORP,BRID,2026-01-28,10-K,0001493152-26-004079,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1308 N PATT ST P O BOX 3773,ANAHEIM,CA,92801,06059,Orange County,data/raw/sec_edgar_hq/filing_documents/CIK0000014177/000149315226004079/form10-k.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0244,BRIDGFORD FOODS CORP,BRID,2026-03-06,10-Q,0001493152-26-009188,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1308 N PATT ST P O BOX 3773,ANAHEIM,CA,92801,06059,Orange County,data/raw/sec_edgar_hq/filing_documents/CIK0000014177/000149315226009188/form10-q.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0245,Barrel Energy Inc.,BRLL,2015-08-12,10-Q,0001477932-15-005008,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,3859 S VALLEY VIEW BLVD SUITE 2 #107,LAS VEGAS,NV,,32003,Clark County,data/raw/sec_edgar_hq/filing_documents/CIK0001631463/000147793215005008/barrel_10q.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0050,Barrel Energy Inc.,BRLL,2015-12-29,10-K,0001477932-15-007800,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,3859 S VALLEY VIEW BLVD SUITE 2 #107,LAS VEGAS,NV,,32003,Clark County,data/raw/sec_edgar_hq/filing_documents/CIK0001631463/000147793215007800/barrel_10k.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0247,"Beyond Air, Inc.",XAIR,2016-02-23,10-Q,0001078782-16-002362,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,900 STEWART AVENUE SUITE 301,GARDEN CITY,NY,11530,36059,Nassau County,data/raw/sec_edgar_hq/filing_documents/CIK0001641631/000107878216002362/f10q123115_10q.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0052,"Beyond Air, Inc.",XAIR,2016-10-13,10-K,0001078782-16-003604,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,900 STEWART AVENUE SUITE 301,GARDEN CITY,NY,11530,36059,Nassau County,data/raw/sec_edgar_hq/filing_documents/CIK0001641631/000107878216003604/f10k063016_10k.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0431,Big Tree Cloud Holdings Ltd,DSY,2024-10-25,20-F,0001213900-24-090783,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"MATIAN STREET, ZHONGLIANG YUNJING PLAZA ROOM 3303, BUILDING 1",SHENZHEN,F4,518083,,,data/raw/sec_edgar_hq/filing_documents/CIK0001999297/000121390024090783/ea0218236-20f_bigtree.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0432,Big Tree Cloud Holdings Ltd,DSY,2025-10-30,20-F,0001213900-25-104178,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"MATIAN STREET, ZHONGLIANG YUNJING PLAZA ROOM 3303, BUILDING 1",SHENZHEN,F4,518083,,,data/raw/sec_edgar_hq/filing_documents/CIK0001999297/000121390025104178/ea0262407-20f_bigtree.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0251,Bimergen Energy Corp,BESS,2008-05-20,10-Q,0001144204-08-031049,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,895 DOVE STREET SUITE 300,NEWPORT BEACH,CA,92660,06059,Orange County,data/raw/sec_edgar_hq/filing_documents/CIK0001066764/000114420408031049/v115326_10q.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0254,BlackRock Energy & Resources Trust,BGR,2008-10-07,8-K,0001341004-08-002508,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,10003,New Castle County,data/raw/sec_edgar_hq/filing_documents/CIK0001306550/000134100408002508/form_8k.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0256,BlackRock Energy & Resources Trust,BGR,2025-01-21,8-K,0001193125-25-009158,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,10003,New Castle County,data/raw/sec_edgar_hq/filing_documents/CIK0001306550/000119312525009158/d923212d8k.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0506,Borealis Foods Inc.,BRLS,2021-11-15,10-Q,0001213900-21-059540,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1540 CORNWALL RD. #104,OAKVILLE,A6,L6J 7W5,,,data/raw/sec_edgar_hq/filing_documents/CIK0001852973/000121390021059540/f10q0921_oxusacq.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0433,Borealis Foods Inc.,BRLS,2022-03-31,10-K,0001213900-22-016349,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1540 CORNWALL RD. #104,OAKVILLE,A6,L6J 7W5,,,data/raw/sec_edgar_hq/filing_documents/CIK0001852973/000121390022016349/f10k2021_oxusacq.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0508,"CBAK Energy Technology, Inc.",CBAT,2006-02-22,10-Q/A,0001275287-06-001031,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BAK INDUSTRIAL PARK, MEIGUI STREET HUAYUANKOU ECONOMIC ZONE",DALIAN,F4,116422,,,data/raw/sec_edgar_hq/filing_documents/CIK0001117171/000127528706001031/cb4909.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0439,"CBAK Energy Technology, Inc.",CBAT,2006-12-08,10-K,0001275287-06-006401,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BAK INDUSTRIAL PARK, MEIGUI STREET HUAYUANKOU ECONOMIC ZONE",DALIAN,F4,116422,,,data/raw/sec_edgar_hq/filing_documents/CIK0001117171/000127528706006401/cb8173.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0440,"CBAK Energy Technology, Inc.",CBAT,2026-03-31,10-K,0001213900-26-036952,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BAK INDUSTRIAL PARK, MEIGUI STREET HUAYUANKOU ECONOMIC ZONE",DALIAN,F4,116422,,,data/raw/sec_edgar_hq/filing_documents/CIK0001117171/000121390026036952/ea0283349-10k_cbak.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0509,"CBAK Energy Technology, Inc.",CBAT,2026-05-18,10-Q,0001213900-26-058528,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"BAK INDUSTRIAL PARK, MEIGUI STREET HUAYUANKOU ECONOMIC ZONE",DALIAN,F4,116422,,,data/raw/sec_edgar_hq/filing_documents/CIK0001117171/000121390026058528/ea0290546-10q_cbakenergy.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0441,CENOVUS ENERGY INC.,CVE,2010-02-18,40-F,0001104659-10-007827,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,225 - 6 AVENUE S.W. P.O. BOX 766,CALGARY,A0,T2P 1N2,,,data/raw/sec_edgar_hq/filing_documents/CIK0001475260/000110465910007827/a10-3706_140f.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0442,CENOVUS ENERGY INC.,CVE,2011-02-25,40-F,0001104659-11-010143,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,225 - 6 AVENUE S.W. P.O. BOX 766,CALGARY,A0,T2P 1N2,,,data/raw/sec_edgar_hq/filing_documents/CIK0001475260/000110465911010143/a11-5658_140f.htm,
medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0443,CENOVUS ENERGY INC.,CVE,2012-02-22,40-F,0001104659-12-011572,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,225 - 6 AVENUE S.W. P.O. BOX 766,CALGARY,A0,T2P 1N2,,,data/raw/sec_edgar_hq/filing_documents/CIK0001475260/000110465912011572/a12-4456_140f.htm,
