command_priority_rank,surface,label,family,command_priority_score,product_readiness,recommended_action,decision,promotion_gate,analog_lift_or_capture,analog_top_decile_capture,false_positive_rate,rank_churn,source_maturity,training_eligibility,point_in_time_semantics,evidence_detail
24,institutional_anchor_official_seed,Institutional anchor official seed,institutional_anchor,35.7,research_queue,Keep in research queue and gather cleaner evidence.,source_maturity_match_gate_ready_provider_geocode_review_open,full_coverage_source_maturity_required,,,,,source_maturity_match_gate_ready_provider_geocode_review_open,report_only,observed_2023_source_year,"Panel rows: 3531; IPEDS rows: 6163; CMS rows: 6103; review rows: 2059; same-ZIP overrides accepted: 184; same-city Census overrides accepted: 77; same-city Census conflict corrections accepted: 4; same-city non-exact context overrides accepted: 14; same-city spot-check overrides accepted: 18; same-city non-exact conflict corrections accepted: 1; external Census overrides accepted: 139; external/manual geocoder packet rows: 18 (1 weak same-FIPS context, 17 same-city unresolved, 0 external geocoder); validator pending rows: 0; validator accepted overrides: 29; validator held rows: 128; residual retry matched rows: 42; residual retry accepted corrections: 4; residual context spot-check reviewed rows: 26; residual context spot-check accepted overrides: 8; residual context spot-check held rows: 18; OSM external geocoder target rows: 83; OSM external geocoder accepted overrides: 32; OSM external geocoder held rows: 51; OSM same-city geocoder target rows: 32; OSM same-city geocoder accepted overrides: 12; OSM same-city geocoder held rows: 20; residual triage rows: 18; residual triage external follow-up rows: 0; residual triage P0 rows: 0; CMS HGI P0 review accepted rows: 24; CMS HGI P0 acceptance applied rows: 24; CMS HGI P0 held rows: 1; CMS HGI P1 review accepted rows: 12; CMS HGI P1 acceptance applied rows: 12; CMS HGI P1 held rows: 6; CMS HGI P1 territory review accepted rows: 4; CMS HGI P1 territory acceptance applied rows: 4; CMS HGI P1 territory held rows: 1; P1 Guayama authoritative review accepted rows: 1; P1 Guayama authoritative acceptance applied rows: 1; P1 Guayama authoritative held rows: 0; authoritative P0 review accepted rows: 1; authoritative P0 acceptance applied rows: 1; authoritative P0 held rows: 0; P2 authoritative review accepted rows: 8; P2 authoritative acceptance applied rows: 8; P2 authoritative held rows: 0; external/manual total accepted overrides: 135."
25,institutional_anchor_panel_proxy,Institutional anchor proxy panel,institutional_anchor,35.7,research_queue,Keep in research queue and gather cleaner evidence.,report_only_complete,source_upgrade_required,,,,,proxy_panel_needs_ipeds_cms_hcris,report_only,mixed_proxy,Proxy rows: 3144; next upgrade is verified IPEDS + CMS/HCRIS source intake.
26,p0_repeatable_residual_guardrail,P0 repeatable residual guardrail,residual_overlay,35.7,research_queue,Keep in research queue and gather cleaner evidence.,p0_repeatable_residual_guardrail_complete,"{'status': 'report_only_residual_review_guardrail_candidate', 'default_model_or_rank_change': False, 'baseline_policy': 'baseline_structural_plus_investable_residual', 'baseline_top100_p0_capture': 2, 'baseline_residual_ndcg_at_25': 0.5950847911227776, 'best_policy': 'keep90_src500_t60_b75_p75', 'best_top100_p0_capture': 8, 'best_top250_p0_capture': 8, 'best_delta_top100_p0_capture': 6, 'best_delta_residual_ndcg_at_25': 0.0, 'best_delta_residual_ndcg_at_100': 0.002120707732833571, 'best_guarded_top100_churn': 0.2671428571428572, 'best_severe_qa_share': 0.0, 'recommendation': 'Use the best policy as a report-only residual review queue candidate. It preserves residual top-of-list quality while recovering the P0 analog capture lift; do not wire it into default ranks.'}",,,,,report_only_guardrail,report_only,derived_from_existing_panel,"Residual queue remains useful for review, not silent default rank influence."
27,source_confidence_weighting,Source confidence weighting,risk_and_trust,35.7,research_queue,Keep in research queue and gather cleaner evidence.,report_only_complete,display_context_only,,,,,report_only_complete,report_only,source_family_completeness_read,Low-confidence counties: 46.
28,underpriced_growth_label_v1,Underpriced growth label V1,analog_label,35.63,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.0643526170798898,0.0643526170798898,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 45.0%; quiet-breakout share 8.9%.
29,interaction_institutional_anchor_workforce,Institutional anchor x workforce depth,analog_interaction,35.33,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.05624920534011443,0.12788711288711288,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 18.2%; quiet-breakout share 8.9%.
30,interaction_logistics_access_anchor_sector,Logistics access x anchor-sector depth,analog_interaction,34.63,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.037878787878787866,0.09455922865013773,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 25.0%; quiet-breakout share 8.9%.
31,interaction_low_momentum_migration_pressure,Low prior momentum x migration pressure,analog_interaction,34.52,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.03503284594193684,0.06992159355795718,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 20.0%; quiet-breakout share 8.9%.
32,interaction_income_catchup_price_discount,Income catch-up x price discount,analog_interaction,33.88,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.018181818181818184,0.018181818181818184,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 20.0%; quiet-breakout share 8.9%.
33,interaction_low_momentum_sector_depth,Low prior momentum x sector depth,analog_interaction,33.69,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.013263403263403258,0.05868192413646958,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 9.2%; quiet-breakout share 8.9%.
34,interaction_low_momentum_income_growth,Low prior momentum x income growth,analog_interaction,33.59,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.010606060606060605,0.04369834710743801,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 8.0%; quiet-breakout share 8.9%.
35,interaction_amenity_affordability_gap,Amenity x affordability gap,analog_interaction,33.39,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.0053719008264462775,0.05877410468319559,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 10.0%; quiet-breakout share 8.9%.
36,interaction_affordability_job_growth,Affordability x job growth,analog_interaction,33.19,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.0,0.0007575757575757545,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 0.0%; quiet-breakout share 8.9%.
37,interaction_affordability_net_migration,Affordability x net migration,analog_interaction,33.19,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.0,0.031129476584022032,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 0.0%; quiet-breakout share 8.9%.
38,interaction_permits_constraint_household_growth,Permit constraint x household growth,analog_interaction,33.19,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.0,0.0,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 0.0%; quiet-breakout share 8.9%.
39,announcement_anchor_event_evidence,Announcement-event evidence,corporate_anchor_event,31.3,report_only_memo_context,Keep as memo/context evidence; do not promote into default rank.,display_spec_ready_but_default_rank_and_score_use_remain_blocked,blocked_for_rank_or_default_display,,,,,source_maturity_blocked_point_in_time_scaleup_open,report_only,current_address_snapshot_with_report_only_filing_observed_candidates,Allowed next surface: opt_in_report_only_event_evidence_panel_or_packet_section; blocked surface: default_product_rank_or_score_influence.
